distribution_id,distribution_date,site,households_served,meals_served
236,2025-07-24,East Community Hall,26,104
237,2025-03-27,East Community Hall,45,225
238,2025-04-17,East Community Hall,67,134
239,2025-02-13,East Community Hall,65,260
240,2025-05-11,Mobile Unit,72,288
241,2025-05-05,Riverside Centre,28,84
242,2025-04-16,Riverside Centre,88,352
243,2025-08-13,Mobile Unit,89,267
244,2025-01-24,North Hub,16,32
245,2025-01-17,Riverside Centre,25,75
246,2025-07-14,East Community Hall,26,52
247,2025-02-08,Mobile Unit,17,51
248,2025-07-10,North Hub,69,345
249,2025-01-21,Riverside Centre,65,130
250,2025-03-11,Mobile Unit,76,152
251,2025-04-03,Mobile Unit,46,230
252,2025-04-03,Mobile Unit,58,116
253,2025-05-01,Riverside Centre,74,148
254,2025-03-12,Mobile Unit,28,84
255,2025-06-18,Mobile Unit,59,295
256,2025-07-23,East Community Hall,33,132
257,2025-07-16,East Community Hall,43,172
258,2025-01-17,North Hub,74,222
259,2025-05-11,North Hub,85,255
260,2025-03-03,East Community Hall,66,198
261,2025-02-13,Riverside Centre,77,385
262,2025-01-28,Riverside Centre,58,290
263,2025-02-01,Riverside Centre,37,111
264,2025-04-23,East Community Hall,80,240
265,2025-02-02,Riverside Centre,16,48
266,2025-05-10,Mobile Unit,62,248
267,2025-01-02,Riverside Centre,54,270
268,2025-07-13,Mobile Unit,72,216
269,2025-04-18,East Community Hall,59,118
270,2025-07-14,Riverside Centre,75,375
271,2025-01-13,East Community Hall,82,164
272,2025-03-23,North Hub,72,288
273,2025-09-01,East Community Hall,44,220
274,2025-02-26,Mobile Unit,23,69
275,2025-04-24,North Hub,56,112
276,2025-01-18,East Community Hall,79,395
277,2025-01-29,Mobile Unit,10,50
278,2025-06-05,East Community Hall,47,94
279,2025-01-09,Riverside Centre,57,114
280,2025-06-26,North Hub,63,189
281,2025-08-02,Mobile Unit,81,405
282,2025-04-23,Mobile Unit,20,60
283,2025-07-20,East Community Hall,72,288
284,2025-05-14,East Community Hall,79,395
285,2025-06-01,Riverside Centre,24,120
286,2025-01-03,North Hub,72,360
287,2025-07-23,Mobile Unit,44,88
288,2025-04-03,Riverside Centre,80,400
289,2025-07-18,East Community Hall,26,104
290,2025-08-04,Mobile Unit,24,72
291,2025-06-02,Mobile Unit,71,213
292,2025-01-04,Riverside Centre,88,440
293,2025-08-30,East Community Hall,65,130
294,2025-05-14,North Hub,30,120
295,2025-04-24,East Community Hall,25,75
296,2025-01-13,Riverside Centre,10,40
297,2025-08-04,East Community Hall,21,63
298,2025-01-31,North Hub,80,320
299,2025-08-21,North Hub,46,92
300,2025-07-14,East Community Hall,49,98
301,2025-05-20,Riverside Centre,41,123
302,2025-04-22,North Hub,55,275
303,2025-06-22,Mobile Unit,18,54
304,2025-04-20,North Hub,60,120
305,2025-01-09,Mobile Unit,59,177
306,2025-07-27,North Hub,39,117
307,2025-05-22,Riverside Centre,80,400
308,2025-02-02,Mobile Unit,28,56
309,2025-06-01,Riverside Centre,53,106
310,2025-02-19,Mobile Unit,79,316
311,2025-08-18,Mobile Unit,75,225
312,2025-04-17,East Community Hall,88,176
313,2025-06-06,Mobile Unit,48,240
314,2025-08-21,East Community Hall,60,300
315,2025-03-18,Riverside Centre,71,142
316,2025-08-10,Riverside Centre,19,38
317,2025-04-18,North Hub,60,120
318,2025-05-22,Riverside Centre,13,65
319,2025-03-20,Mobile Unit,22,110
320,2025-05-26,East Community Hall,28,112
321,2025-01-05,Riverside Centre,51,255
322,2025-09-06,Riverside Centre,36,108
323,2025-04-09,North Hub,81,324
324,2025-07-27,Riverside Centre,57,285
325,2025-05-09,Riverside Centre,27,135
326,2025-03-28,Mobile Unit,77,154
327,2025-08-29,Mobile Unit,20,100
328,2025-02-03,North Hub,72,216
329,2025-05-22,East Community Hall,19,95
330,2025-06-28,North Hub,56,224
331,2025-07-14,East Community Hall,48,240
332,2025-05-26,North Hub,34,136
333,2025-06-22,North Hub,50,200
334,2025-05-15,North Hub,34,170
335,2025-03-04,Mobile Unit,26,130
336,2025-02-01,East Community Hall,89,178
337,2025-02-25,Mobile Unit,54,108
338,2025-02-14,Mobile Unit,21,105
339,2025-07-21,Riverside Centre,65,325
340,2025-04-10,North Hub,34,170
341,2025-08-23,Riverside Centre,51,255
342,2025-07-03,East Community Hall,38,190
343,2025-08-14,Riverside Centre,21,63
344,2025-08-31,Mobile Unit,11,33
345,2025-09-06,Mobile Unit,36,108
346,2025-05-09,North Hub,54,108
347,2025-06-16,East Community Hall,67,268
348,2025-08-27,Riverside Centre,72,144
349,2025-06-12,East Community Hall,56,224
350,2025-07-22,Mobile Unit,38,76
351,2025-07-01,East Community Hall,65,195
352,2025-04-05,North Hub,61,183
353,2025-05-22,Mobile Unit,47,141
354,2025-07-02,North Hub,11,33
355,2025-06-16,East Community Hall,64,256
356,2025-04-20,Riverside Centre,19,76
357,2025-06-13,Mobile Unit,16,64
358,2025-03-19,Mobile Unit,53,106
359,2025-01-09,Riverside Centre,45,225
360,2025-03-14,Riverside Centre,39,117
361,2025-01-19,East Community Hall,14,28
362,2025-05-26,East Community Hall,40,120
363,2025-03-19,North Hub,67,335
364,2025-07-30,North Hub,26,78
365,2025-03-04,Mobile Unit,88,176
366,2025-01-12,East Community Hall,41,205
367,2025-07-31,Riverside Centre,59,177
368,2025-03-27,Mobile Unit,46,230
369,2025-01-17,Riverside Centre,28,84
370,2025-05-29,Riverside Centre,38,152
371,2025-02-11,East Community Hall,49,98
372,2025-02-15,Mobile Unit,79,316
373,2025-01-02,Riverside Centre,66,132
374,2025-05-30,East Community Hall,85,425
375,2025-07-25,East Community Hall,62,186
376,2025-02-28,North Hub,30,150
377,2025-06-04,Riverside Centre,66,132
378,2025-08-24,East Community Hall,12,48
379,2025-04-20,Mobile Unit,24,96
380,2025-03-05,Mobile Unit,12,36
381,2025-07-05,Mobile Unit,34,102
382,2025-07-21,East Community Hall,64,256
383,2025-06-05,Riverside Centre,27,81
384,2025-03-19,East Community Hall,48,96
385,2025-08-15,North Hub,54,162
386,2025-03-26,Riverside Centre,52,104
387,2025-07-04,East Community Hall,86,430
388,2025-08-16,Riverside Centre,50,200
389,2025-05-08,Mobile Unit,38,190
390,2025-02-19,Riverside Centre,73,365
391,2025-06-25,North Hub,17,85
392,2025-04-13,North Hub,30,90
393,2025-05-05,Mobile Unit,36,144
394,2025-02-04,East Community Hall,46,230
395,2025-07-09,Mobile Unit,47,141
396,2025-07-21,Mobile Unit,24,96
397,2025-07-06,North Hub,64,128
398,2025-03-27,North Hub,62,310
399,2025-02-11,East Community Hall,24,48
400,2025-03-20,North Hub,45,135
401,2025-01-29,Riverside Centre,26,52
402,2025-08-05,Riverside Centre,23,46
403,2025-05-23,Mobile Unit,31,62
404,2025-05-22,East Community Hall,60,300
405,2025-01-29,East Community Hall,83,166
406,2025-07-02,Riverside Centre,45,180
407,2025-08-27,North Hub,49,245
408,2025-08-23,Mobile Unit,23,69
409,2025-04-23,Riverside Centre,74,370
410,2025-01-22,Riverside Centre,25,75
411,2025-09-01,Riverside Centre,39,156
412,2025-04-16,Mobile Unit,65,195
413,2025-04-17,East Community Hall,47,94
414,2025-01-14,North Hub,42,126
415,2025-04-06,Riverside Centre,71,213
416,2025-08-22,Mobile Unit,17,85
417,2025-08-23,Riverside Centre,39,78
418,2025-02-11,Mobile Unit,48,192
419,2025-05-04,North Hub,36,108
420,2025-06-28,East Community Hall,59,236
421,2025-07-04,North Hub,43,86
422,2025-04-14,North Hub,63,252
423,2025-09-06,Riverside Centre,50,250
424,2025-09-02,Riverside Centre,49,245
425,2025-03-14,Riverside Centre,58,290
426,2025-06-19,Mobile Unit,63,189
427,2025-08-14,North Hub,83,166
428,2025-03-05,North Hub,48,240
429,2025-01-20,East Community Hall,65,130
430,2025-04-18,Riverside Centre,36,108
431,2025-01-15,Riverside Centre,19,57
432,2025-02-13,East Community Hall,45,225
433,2025-06-29,Riverside Centre,28,84
434,2025-03-29,North Hub,24,48
435,2025-04-11,Mobile Unit,17,51
436,2025-09-06,Mobile Unit,78,312
437,2025-05-02,Riverside Centre,72,288
438,2025-07-17,East Community Hall,17,34
439,2025-06-22,Riverside Centre,60,180
440,2025-09-06,Mobile Unit,76,152
441,2025-09-01,East Community Hall,46,92
442,2025-04-23,Mobile Unit,35,175
443,2025-04-21,East Community Hall,62,248
444,2025-05-24,East Community Hall,82,246
445,2025-04-08,North Hub,71,213
446,2025-03-18,Riverside Centre,89,267
447,2025-01-03,North Hub,25,75
448,2025-03-23,Riverside Centre,39,117
449,2025-01-29,East Community Hall,74,222
450,2025-08-09,Riverside Centre,33,132
451,2025-04-08,East Community Hall,85,425
452,2025-08-22,Riverside Centre,38,114
453,2025-08-27,Mobile Unit,80,160
454,2025-08-06,Mobile Unit,89,178
455,2025-07-26,Riverside Centre,42,210
456,2025-01-15,East Community Hall,51,102
457,2025-02-12,Riverside Centre,44,220
458,2025-01-03,East Community Hall,47,141
459,2025-03-09,Mobile Unit,77,154
460,2025-05-26,Mobile Unit,82,410
461,2025-07-13,Riverside Centre,46,230
462,2025-07-05,East Community Hall,48,192
463,2025-07-17,East Community Hall,51,255
464,2025-07-24,North Hub,59,177
465,2025-06-05,North Hub,82,164
466,2025-05-17,Riverside Centre,40,80
467,2025-04-10,East Community Hall,87,261
468,2025-03-10,North Hub,15,30
469,2025-02-24,East Community Hall,23,115
470,2025-05-26,Riverside Centre,66,330
471,2025-07-22,Mobile Unit,64,128
472,2025-04-13,East Community Hall,55,165
473,2025-04-04,North Hub,52,260
474,2025-01-30,North Hub,75,375
475,2025-01-24,East Community Hall,84,336
476,2025-05-31,North Hub,60,300
477,2025-05-15,Riverside Centre,10,50
478,2025-01-01,Riverside Centre,40,80
479,2025-08-14,Mobile Unit,60,180
480,2025-04-16,Mobile Unit,35,70
481,2025-04-14,Riverside Centre,79,158
482,2025-07-03,Mobile Unit,41,82
483,2025-05-06,Mobile Unit,86,344
484,2025-04-14,East Community Hall,17,85
485,2025-07-25,Mobile Unit,25,100
486,2025-04-29,North Hub,83,415
487,2025-04-12,East Community Hall,50,150
488,2025-06-16,Riverside Centre,21,63
489,2025-04-03,Mobile Unit,72,144
490,2025-04-23,East Community Hall,72,216
491,2025-03-16,East Community Hall,31,93
492,2025-06-19,Mobile Unit,59,295
493,2025-03-16,East Community Hall,20,40
494,2025-07-02,East Community Hall,14,56
495,2025-02-27,Riverside Centre,40,160
496,2025-01-12,Riverside Centre,51,102
497,2025-06-25,Riverside Centre,22,88
498,2025-02-06,East Community Hall,47,94
499,2025-05-26,North Hub,41,123
500,2025-05-12,Riverside Centre,87,435
501,2025-04-12,North Hub,69,276
502,2025-03-05,Mobile Unit,86,172
503,2025-05-27,North Hub,12,48
504,2025-07-23,Riverside Centre,14,28
505,2025-01-28,North Hub,78,312
506,2025-01-03,Mobile Unit,41,82
507,2025-01-14,East Community Hall,47,235
508,2025-04-09,Riverside Centre,53,159
509,2025-08-09,North Hub,36,144
510,2025-04-12,Mobile Unit,78,156
511,2025-03-05,East Community Hall,42,126
512,2025-02-03,Riverside Centre,80,240
513,2025-03-08,Riverside Centre,86,344
514,2025-05-08,Mobile Unit,70,210
515,2025-06-06,Mobile Unit,39,117
516,2025-08-18,North Hub,79,158
517,2025-01-28,Riverside Centre,72,288
518,2025-04-05,Riverside Centre,64,128
519,2025-07-01,Riverside Centre,40,120
520,2025-03-30,North Hub,45,135
521,2025-08-30,East Community Hall,59,118
522,2025-05-26,North Hub,57,228
523,2025-05-18,Riverside Centre,54,216
524,2025-07-12,Mobile Unit,69,138
525,2025-02-12,Riverside Centre,60,180
526,2025-05-19,Mobile Unit,70,210
527,2025-01-08,Mobile Unit,11,44
528,2025-08-28,East Community Hall,27,54
529,2025-01-20,Mobile Unit,21,105
530,2025-01-26,Mobile Unit,51,102
531,2025-03-28,North Hub,25,75
532,2025-03-28,North Hub,40,120
533,2025-03-31,Riverside Centre,52,156
534,2025-02-26,Riverside Centre,19,38
535,2025-02-15,Riverside Centre,64,192
536,2025-03-10,East Community Hall,34,102
537,2025-04-21,North Hub,11,44
538,2025-01-28,North Hub,28,56
539,2025-05-04,East Community Hall,86,258
540,2025-08-30,East Community Hall,10,50
541,2025-03-21,Mobile Unit,14,70
542,2025-03-05,North Hub,76,152
543,2025-08-10,Mobile Unit,12,36
544,2025-09-07,East Community Hall,24,96
545,2025-07-06,Riverside Centre,52,104
546,2025-09-07,Mobile Unit,65,130
547,2025-06-30,Riverside Centre,82,246
548,2025-04-09,East Community Hall,86,172
549,2025-01-23,East Community Hall,89,356
550,2025-03-25,East Community Hall,16,48
551,2025-07-08,North Hub,80,320
552,2025-02-11,Mobile Unit,49,147
553,2025-03-12,Riverside Centre,59,118
554,2025-02-03,East Community Hall,89,178
555,2025-01-03,East Community Hall,56,224
556,2025-03-06,Mobile Unit,45,225
557,2025-08-29,North Hub,44,176
558,2025-08-28,Riverside Centre,28,112
559,2025-03-07,North Hub,25,50
560,2025-05-13,East Community Hall,40,120
561,2025-01-13,Mobile Unit,66,132
562,2025-03-10,North Hub,65,195
563,2025-06-12,Riverside Centre,71,284
564,2025-07-09,Riverside Centre,35,175
565,2025-01-09,Riverside Centre,36,108
566,2025-06-23,Mobile Unit,60,240
567,2025-07-14,North Hub,74,222
568,2025-01-27,North Hub,40,200
569,2025-02-06,Mobile Unit,23,92
570,2025-06-02,East Community Hall,28,84
571,2025-04-27,Mobile Unit,65,260
572,2025-07-23,North Hub,40,80
573,2025-03-29,Riverside Centre,43,129
574,2025-01-26,Riverside Centre,59,118
575,2025-02-11,Riverside Centre,79,395
576,2025-05-22,Mobile Unit,65,195
577,2025-09-05,Mobile Unit,51,102
578,2025-05-04,East Community Hall,51,153
579,2025-01-17,North Hub,49,147
580,2025-08-16,North Hub,50,150
581,2025-07-22,North Hub,28,140
582,2025-06-02,East Community Hall,32,160
583,2025-01-14,Mobile Unit,61,305
584,2025-05-18,East Community Hall,10,50
585,2025-06-05,Riverside Centre,15,60
586,2025-01-08,East Community Hall,60,120
587,2025-06-04,Riverside Centre,41,205
588,2025-04-17,Riverside Centre,17,68
589,2025-02-04,Riverside Centre,63,189
590,2025-04-20,Riverside Centre,53,106
591,2025-05-25,Mobile Unit,45,135
592,2025-05-17,Mobile Unit,65,195
593,2025-06-05,Riverside Centre,56,224
594,2025-07-06,East Community Hall,43,86
595,2025-05-20,North Hub,73,146
596,2025-01-01,North Hub,50,100
597,2025-02-18,East Community Hall,57,228
598,2025-09-03,Riverside Centre,79,158
599,2025-07-20,Mobile Unit,86,258
600,2025-03-08,Riverside Centre,80,320
601,2025-02-20,Mobile Unit,83,166
602,2025-01-09,Mobile Unit,41,205
603,2025-04-08,North Hub,17,68
604,2025-07-27,North Hub,49,245
605,2025-06-25,Mobile Unit,52,208
606,2025-05-13,North Hub,65,260
607,2025-08-09,North Hub,70,210
608,2025-07-02,Riverside Centre,71,213
609,2025-09-02,Mobile Unit,11,55
610,2025-03-12,Riverside Centre,36,72
611,2025-04-02,North Hub,78,156
612,2025-01-02,Riverside Centre,27,108
613,2025-06-16,Riverside Centre,72,288
614,2025-04-02,Riverside Centre,68,272
615,2025-01-23,East Community Hall,29,116
616,2025-02-18,North Hub,35,70
617,2025-07-24,North Hub,83,249
618,2025-01-01,Riverside Centre,25,75
619,2025-01-07,North Hub,12,24
620,2025-09-03,East Community Hall,59,236
621,2025-02-01,Riverside Centre,31,93
622,2025-02-08,Riverside Centre,42,126
623,2025-03-21,North Hub,29,145
624,2025-06-02,Mobile Unit,68,136
625,2025-05-02,North Hub,24,72
626,2025-08-24,North Hub,53,265
627,2025-06-23,Mobile Unit,86,172
628,2025-01-27,Mobile Unit,75,300
629,2025-05-08,Riverside Centre,20,40
630,2025-01-21,Mobile Unit,47,141
631,2025-03-28,Mobile Unit,50,150
632,2025-08-20,East Community Hall,24,96
633,2025-02-06,Mobile Unit,71,142
634,2025-07-04,Mobile Unit,21,63
635,2025-05-03,Riverside Centre,41,205
636,2025-08-26,North Hub,87,435
637,2025-03-05,North Hub,14,28
638,2025-04-26,Riverside Centre,28,84
639,2025-02-14,East Community Hall,53,265
640,2025-07-08,North Hub,39,78
641,2025-01-28,Mobile Unit,35,105
642,2025-01-07,North Hub,43,129
643,2025-03-07,Mobile Unit,41,82
644,2025-01-18,North Hub,66,264
645,2025-08-16,East Community Hall,15,75
646,2025-06-29,Riverside Centre,71,355
647,2025-06-20,North Hub,75,300
648,2025-07-28,East Community Hall,57,114
649,2025-04-10,Mobile Unit,16,80
650,2025-03-05,East Community Hall,84,168
651,2025-08-31,Mobile Unit,68,204
652,2025-04-01,Riverside Centre,65,195
653,2025-04-21,North Hub,86,430
654,2025-07-19,North Hub,28,56
655,2025-08-25,North Hub,80,160
656,2025-02-25,North Hub,61,305
657,2025-01-06,Riverside Centre,49,98
658,2025-03-11,North Hub,36,180
659,2025-02-02,Riverside Centre,83,249
660,2025-08-21,Riverside Centre,88,440
661,2025-02-19,North Hub,39,195
662,2025-09-04,East Community Hall,59,177
663,2025-01-27,Mobile Unit,84,252
664,2025-08-29,Riverside Centre,28,56
665,2025-08-08,North Hub,36,144
666,2025-08-14,North Hub,56,112
667,2025-05-16,Mobile Unit,27,54
668,2025-04-17,East Community Hall,52,208
669,2025-01-16,Mobile Unit,16,48
670,2025-03-23,North Hub,55,110
671,2025-03-14,East Community Hall,55,165
672,2025-01-04,East Community Hall,35,140
673,2025-06-27,Riverside Centre,64,320
674,2025-03-01,Riverside Centre,44,176
675,2025-06-22,North Hub,75,150
676,2025-05-09,Mobile Unit,42,126
677,2025-04-14,North Hub,52,156
678,2025-02-09,Riverside Centre,75,300
679,2025-06-02,East Community Hall,83,166
680,2025-06-22,East Community Hall,76,304
681,2025-02-08,North Hub,28,84
682,2025-02-18,North Hub,11,22
683,2025-05-16,Riverside Centre,64,128
684,2025-07-21,Riverside Centre,13,39
685,2025-02-20,North Hub,13,52
686,2025-04-24,East Community Hall,73,219
687,2025-06-02,North Hub,58,232
688,2025-01-01,East Community Hall,79,158
689,2025-07-18,Riverside Centre,10,30
690,2025-02-10,East Community Hall,80,400
691,2025-02-27,North Hub,49,245
692,2025-06-26,Riverside Centre,52,104
693,2025-06-27,Mobile Unit,57,228
694,2025-08-21,Mobile Unit,29,145
