donation_id,donation_date,food_category,source,weight_kg
100,2025-05-31,Dairy,Local Farm,5.7
101,2025-07-22,Fresh produce,Community Drive,24.5
102,2025-06-10,Dry goods,Individual,48.6
103,2025-07-19,Fresh produce,Individual,13.5
104,2025-09-05,Bakery,Individual,41.8
105,2025-06-29,Dry goods,Community Drive,40.8
106,2025-01-11,Dry goods,Corporate Gift,7.3
107,2025-05-15,Canned goods,Individual,21.0
108,2025-06-23,Canned goods,Corporate Gift,30.2
109,2025-06-28,Beverages,Community Drive,39.6
110,2025-07-07,Bakery,Local Farm,20.3
111,2025-08-01,Beverages,Supermarket Co,34.2
112,2025-08-28,Beverages,Supermarket Co,29.5
113,2025-01-10,Dairy,Individual,17.8
114,2025-02-04,Fresh produce,Corporate Gift,2.3
115,2025-04-24,Frozen,Community Drive,39.1
116,2025-05-19,Canned goods,Community Drive,46.5
117,2025-05-28,Beverages,Supermarket Co,32.9
118,2025-01-17,Canned goods,Supermarket Co,14.4
119,2025-01-04,Fresh produce,Supermarket Co,6.7
120,2025-01-03,Frozen,Corporate Gift,19.7
121,2025-07-20,Dairy,Corporate Gift,37.8
122,2025-08-13,Fresh produce,Local Farm,1.6
123,2025-05-31,Dry goods,Local Farm,6.5
124,2025-03-04,Dry goods,Supermarket Co,9.0
125,2025-07-23,Beverages,Corporate Gift,46.7
126,2025-02-23,Dairy,Supermarket Co,47.7
127,2025-08-17,Canned goods,Local Farm,21.0
128,2025-02-09,Dry goods,Individual,1.0
129,2025-05-21,Dry goods,Individual,47.6
130,2025-06-11,Dry goods,Local Farm,4.3
131,2025-02-14,Bakery,Corporate Gift,8.8
132,2025-05-12,Beverages,Community Drive,24.0
133,2025-04-06,Fresh produce,Individual,31.9
134,2025-04-27,Canned goods,Individual,26.4
135,2025-03-18,Fresh produce,Supermarket Co,32.1
136,2025-01-10,Canned goods,Corporate Gift,43.0
137,2025-05-27,Bakery,Individual,44.5
138,2025-09-07,Fresh produce,Local Farm,13.3
139,2025-07-15,Canned goods,Local Farm,31.6
140,2025-04-15,Dairy,Local Farm,12.7
141,2025-05-06,Frozen,Corporate Gift,49.5
142,2025-06-14,Frozen,Corporate Gift,21.7
143,2025-06-17,Beverages,Supermarket Co,17.0
144,2025-03-14,Dry goods,Corporate Gift,39.4
145,2025-08-18,Frozen,Local Farm,32.7
146,2025-02-21,Bakery,Individual,32.3
147,2025-01-16,Dry goods,Supermarket Co,15.8
148,2025-07-21,Fresh produce,Corporate Gift,33.6
149,2025-03-11,Bakery,Corporate Gift,49.7
150,2025-01-04,Bakery,Corporate Gift,9.9
151,2025-02-16,Dry goods,Local Farm,5.5
152,2025-04-04,Fresh produce,Supermarket Co,26.6
153,2025-07-07,Canned goods,Supermarket Co,30.1
154,2025-05-22,Frozen,Local Farm,14.7
155,2025-07-28,Bakery,Community Drive,39.0
156,2025-04-01,Canned goods,Corporate Gift,42.8
157,2025-04-09,Frozen,Community Drive,21.3
158,2025-01-06,Canned goods,Community Drive,17.8
159,2025-07-28,Dry goods,Community Drive,8.3
160,2025-08-26,Dairy,Community Drive,20.1
161,2025-06-04,Bakery,Individual,37.4
162,2025-08-28,Canned goods,Individual,44.9
163,2025-01-19,Fresh produce,Community Drive,39.1
164,2025-05-03,Beverages,Community Drive,40.1
165,2025-02-19,Frozen,Local Farm,17.6
166,2025-05-04,Frozen,Local Farm,49.6
167,2025-05-05,Beverages,Individual,35.5
168,2025-01-23,Bakery,Supermarket Co,30.2
169,2025-01-31,Fresh produce,Corporate Gift,32.2
170,2025-05-09,Bakery,Corporate Gift,19.2
171,2025-05-31,Dry goods,Local Farm,36.4
172,2025-04-07,Bakery,Individual,30.9
173,2025-04-27,Dry goods,Community Drive,15.9
174,2025-01-02,Dairy,Supermarket Co,4.5
175,2025-02-24,Fresh produce,Supermarket Co,5.1
176,2025-04-14,Beverages,Corporate Gift,48.4
177,2025-03-09,Canned goods,Supermarket Co,34.2
178,2025-02-14,Fresh produce,Local Farm,43.7
179,2025-09-07,Dry goods,Local Farm,16.9
180,2025-01-31,Dry goods,Individual,29.1
181,2025-02-17,Canned goods,Individual,29.4
182,2025-06-05,Frozen,Local Farm,16.6
183,2025-02-12,Fresh produce,Local Farm,49.0
184,2025-04-20,Beverages,Corporate Gift,14.4
185,2025-07-16,Dairy,Supermarket Co,43.5
186,2025-07-12,Canned goods,Corporate Gift,13.7
187,2025-04-05,Dairy,Supermarket Co,45.2
188,2025-07-11,Dairy,Community Drive,39.3
189,2025-05-05,Bakery,Individual,31.5
190,2025-07-08,Canned goods,Community Drive,11.7
191,2025-06-14,Fresh produce,Community Drive,39.6
192,2025-03-09,Dry goods,Supermarket Co,21.4
193,2025-04-16,Dry goods,Local Farm,3.0
194,2025-08-05,Fresh produce,Individual,13.2
195,2025-02-19,Canned goods,Individual,30.5
196,2025-09-02,Dairy,Corporate Gift,32.2
197,2025-07-30,Dairy,Community Drive,10.9
198,2025-05-13,Dry goods,Supermarket Co,43.5
199,2025-03-03,Dairy,Supermarket Co,46.1
200,2025-05-02,Fresh produce,Local Farm,7.5
201,2025-01-26,Fresh produce,Individual,41.5
202,2025-01-08,Fresh produce,Corporate Gift,45.8
203,2025-06-17,Beverages,Local Farm,29.6
204,2025-04-14,Dry goods,Community Drive,43.0
205,2025-01-21,Dry goods,Local Farm,42.7
206,2025-08-21,Dairy,Community Drive,38.5
207,2025-04-22,Canned goods,Community Drive,45.5
208,2025-05-19,Canned goods,Individual,45.7
209,2025-08-16,Frozen,Community Drive,1.4
210,2025-01-15,Dairy,Individual,32.6
211,2025-08-19,Frozen,Supermarket Co,26.1
212,2025-01-26,Dairy,Corporate Gift,30.8
213,2025-08-01,Bakery,Corporate Gift,1.6
214,2025-03-18,Dry goods,Supermarket Co,18.2
215,2025-06-02,Beverages,Supermarket Co,9.2
216,2025-03-27,Dairy,Individual,11.5
217,2025-07-21,Fresh produce,Community Drive,44.2
218,2025-08-05,Frozen,Individual,17.2
219,2025-03-07,Beverages,Community Drive,2.5
220,2025-08-12,Canned goods,Individual,16.1
221,2025-01-02,Dry goods,Supermarket Co,22.7
222,2025-05-15,Canned goods,Corporate Gift,21.9
223,2025-09-03,Beverages,Local Farm,14.1
224,2025-08-19,Bakery,Community Drive,16.7
225,2025-08-11,Dry goods,Individual,15.7
226,2025-09-07,Beverages,Individual,23.9
227,2025-07-05,Dry goods,Local Farm,17.0
228,2025-04-07,Beverages,Individual,23.0
229,2025-05-01,Bakery,Individual,18.6
230,2025-05-31,Dry goods,Individual,42.5
231,2025-03-20,Fresh produce,Corporate Gift,21.7
232,2025-07-22,Frozen,Individual,27.3
233,2025-04-25,Dairy,Supermarket Co,9.0
234,2025-08-10,Dry goods,Corporate Gift,2.2
235,2025-09-06,Fresh produce,Corporate Gift,10.5
236,2025-08-20,Frozen,Supermarket Co,48.5
237,2025-05-24,Dairy,Individual,12.1
238,2025-04-15,Dry goods,Corporate Gift,23.2
239,2025-08-27,Canned goods,Corporate Gift,7.8
240,2025-07-13,Canned goods,Corporate Gift,29.1
241,2025-06-06,Frozen,Community Drive,39.6
242,2025-05-24,Frozen,Community Drive,24.9
243,2025-01-21,Dairy,Community Drive,35.8
244,2025-04-12,Bakery,Individual,44.8
245,2025-03-01,Canned goods,Community Drive,38.1
246,2025-04-19,Dry goods,Supermarket Co,36.5
247,2025-04-25,Beverages,Individual,20.7
248,2025-08-07,Frozen,Corporate Gift,24.8
249,2025-04-26,Dry goods,Community Drive,27.5
250,2025-02-16,Fresh produce,Community Drive,34.5
251,2025-04-18,Fresh produce,Community Drive,30.9
252,2025-01-17,Fresh produce,Local Farm,20.9
253,2025-06-20,Frozen,Individual,45.0
254,2025-05-21,Canned goods,Local Farm,44.8
255,2025-02-21,Canned goods,Supermarket Co,30.0
256,2025-06-13,Canned goods,Corporate Gift,4.1
257,2025-08-11,Fresh produce,Individual,43.0
258,2025-02-01,Bakery,Supermarket Co,33.7
259,2025-03-05,Dairy,Corporate Gift,39.7
260,2025-07-02,Beverages,Individual,15.0
261,2025-04-24,Bakery,Individual,30.3
262,2025-01-11,Dry goods,Corporate Gift,2.9
263,2025-07-25,Dry goods,Supermarket Co,34.3
264,2025-01-24,Canned goods,Individual,29.2
265,2025-03-01,Bakery,Individual,31.5
266,2025-08-11,Dry goods,Corporate Gift,14.0
267,2025-09-04,Fresh produce,Community Drive,33.5
268,2025-07-02,Dry goods,Supermarket Co,23.6
269,2025-09-07,Dairy,Individual,35.6
270,2025-05-02,Dairy,Corporate Gift,45.4
271,2025-07-10,Dairy,Community Drive,5.0
272,2025-08-20,Dairy,Corporate Gift,14.0
273,2025-07-21,Dairy,Community Drive,38.2
274,2025-01-08,Canned goods,Community Drive,40.0
275,2025-06-10,Dry goods,Individual,8.3
276,2025-08-04,Dairy,Community Drive,2.6
277,2025-05-27,Fresh produce,Corporate Gift,8.7
278,2025-09-06,Beverages,Individual,11.3
279,2025-07-17,Beverages,Corporate Gift,13.9
280,2025-06-20,Beverages,Corporate Gift,6.2
281,2025-05-16,Frozen,Corporate Gift,22.9
282,2025-07-31,Dry goods,Corporate Gift,39.7
283,2025-07-28,Beverages,Local Farm,24.2
284,2025-07-19,Beverages,Local Farm,7.3
285,2025-03-09,Canned goods,Community Drive,43.2
286,2025-03-09,Dairy,Community Drive,3.2
287,2025-05-12,Bakery,Community Drive,38.5
288,2025-06-11,Fresh produce,Supermarket Co,14.4
289,2025-01-14,Frozen,Individual,36.2
290,2025-05-08,Dry goods,Individual,16.4
291,2025-06-08,Canned goods,Individual,20.5
292,2025-04-23,Frozen,Individual,25.5
293,2025-02-04,Frozen,Corporate Gift,6.9
294,2025-02-07,Bakery,Local Farm,9.0
295,2025-01-15,Dairy,Local Farm,9.2
296,2025-01-14,Dry goods,Local Farm,7.4
297,2025-05-15,Canned goods,Supermarket Co,25.6
298,2025-02-10,Dry goods,Individual,43.6
299,2025-08-01,Frozen,Community Drive,43.3
300,2025-05-31,Dry goods,Corporate Gift,35.4
301,2025-01-23,Dairy,Community Drive,42.3
302,2025-06-23,Canned goods,Community Drive,16.5
303,2025-03-05,Frozen,Individual,6.9
304,2025-03-28,Canned goods,Corporate Gift,23.1
305,2025-09-02,Bakery,Corporate Gift,12.2
306,2025-07-02,Frozen,Community Drive,18.4
307,2025-06-23,Dairy,Community Drive,4.6
308,2025-06-14,Dry goods,Local Farm,19.4
309,2025-06-30,Frozen,Corporate Gift,21.5
310,2025-05-03,Beverages,Community Drive,18.5
311,2025-01-26,Fresh produce,Local Farm,33.0
312,2025-07-08,Dairy,Local Farm,6.6
313,2025-01-23,Canned goods,Corporate Gift,24.4
314,2025-07-24,Beverages,Community Drive,35.1
315,2025-07-15,Canned goods,Corporate Gift,2.9
316,2025-03-17,Frozen,Local Farm,34.6
317,2025-08-13,Canned goods,Local Farm,46.7
318,2025-01-09,Dairy,Community Drive,33.8
319,2025-01-09,Bakery,Supermarket Co,39.7
320,2025-04-10,Canned goods,Local Farm,26.5
321,2025-06-19,Bakery,Corporate Gift,1.6
322,2025-05-01,Fresh produce,Supermarket Co,45.2
323,2025-08-24,Frozen,Individual,29.8
324,2025-07-14,Dry goods,Community Drive,2.8
325,2025-08-07,Bakery,Community Drive,18.8
326,2025-01-21,Dry goods,Supermarket Co,22.8
327,2025-04-29,Canned goods,Individual,49.9
328,2025-04-11,Dairy,Individual,19.3
329,2025-02-25,Dairy,Local Farm,40.6
330,2025-06-19,Bakery,Local Farm,5.7
331,2025-04-19,Dry goods,Local Farm,23.6
332,2025-04-21,Dairy,Community Drive,28.9
333,2025-05-04,Beverages,Corporate Gift,39.3
334,2025-04-04,Bakery,Supermarket Co,45.6
335,2025-07-20,Frozen,Community Drive,30.1
336,2025-07-05,Fresh produce,Community Drive,5.4
337,2025-02-02,Fresh produce,Local Farm,48.1
338,2025-05-11,Fresh produce,Corporate Gift,23.5
339,2025-05-21,Bakery,Corporate Gift,23.1
340,2025-01-29,Fresh produce,Local Farm,33.3
341,2025-05-23,Canned goods,Local Farm,34.8
342,2025-04-21,Dry goods,Community Drive,41.9
343,2025-08-02,Dry goods,Individual,8.3
344,2025-06-06,Dry goods,Individual,27.9
345,2025-05-08,Frozen,Community Drive,35.0
346,2025-01-02,Fresh produce,Supermarket Co,40.7
347,2025-04-09,Frozen,Individual,16.0
348,2025-04-26,Bakery,Individual,37.8
349,2025-07-22,Beverages,Community Drive,30.7
350,2025-02-20,Bakery,Individual,5.6
351,2025-06-18,Fresh produce,Individual,24.6
352,2025-05-12,Bakery,Corporate Gift,12.2
353,2025-08-05,Frozen,Supermarket Co,37.3
354,2025-07-29,Fresh produce,Supermarket Co,6.8
355,2025-03-11,Bakery,Local Farm,49.4
356,2025-01-20,Frozen,Corporate Gift,34.5
357,2025-01-29,Canned goods,Community Drive,4.5
358,2025-06-10,Dairy,Community Drive,48.1
359,2025-02-20,Dairy,Local Farm,49.5
360,2025-04-19,Bakery,Local Farm,2.9
361,2025-02-10,Canned goods,Supermarket Co,14.4
362,2025-04-19,Dairy,Community Drive,27.0
363,2025-02-10,Frozen,Community Drive,48.9
364,2025-04-22,Fresh produce,Individual,8.1
365,2025-04-14,Beverages,Community Drive,47.4
366,2025-05-22,Fresh produce,Community Drive,8.8
367,2025-01-19,Canned goods,Corporate Gift,17.8
368,2025-09-02,Frozen,Corporate Gift,32.6
369,2025-03-18,Beverages,Local Farm,17.5
370,2025-05-14,Beverages,Supermarket Co,43.5
371,2025-02-17,Dry goods,Local Farm,22.8
372,2025-06-03,Dry goods,Community Drive,13.2
373,2025-04-27,Dry goods,Local Farm,9.1
374,2025-01-12,Frozen,Local Farm,24.5
375,2025-08-08,Bakery,Corporate Gift,34.6
376,2025-08-11,Dry goods,Supermarket Co,2.8
377,2025-08-28,Fresh produce,Individual,20.6
378,2025-07-12,Frozen,Corporate Gift,8.6
379,2025-03-11,Dry goods,Individual,28.8
380,2025-01-12,Dairy,Community Drive,35.5
381,2025-08-20,Dry goods,Community Drive,36.0
382,2025-04-15,Dry goods,Corporate Gift,35.5
383,2025-01-12,Canned goods,Community Drive,24.7
384,2025-01-25,Dry goods,Corporate Gift,40.1
385,2025-04-29,Beverages,Supermarket Co,30.6
386,2025-08-01,Bakery,Supermarket Co,14.7
387,2025-05-02,Dairy,Corporate Gift,38.6
388,2025-07-10,Beverages,Corporate Gift,4.7
389,2025-03-02,Canned goods,Local Farm,10.2
390,2025-03-26,Canned goods,Corporate Gift,43.7
391,2025-03-31,Bakery,Individual,46.0
392,2025-05-11,Dairy,Supermarket Co,24.0
393,2025-05-04,Fresh produce,Corporate Gift,27.4
394,2025-03-22,Fresh produce,Corporate Gift,41.1
395,2025-05-03,Canned goods,Supermarket Co,49.6
396,2025-01-15,Bakery,Corporate Gift,37.0
397,2025-07-16,Canned goods,Supermarket Co,11.0
398,2025-02-11,Frozen,Corporate Gift,29.8
399,2025-05-13,Fresh produce,Local Farm,11.4
400,2025-08-21,Dairy,Individual,41.3
401,2025-06-20,Bakery,Community Drive,42.3
402,2025-07-17,Beverages,Individual,49.7
403,2025-06-10,Dry goods,Supermarket Co,41.3
404,2025-06-26,Beverages,Individual,39.2
405,2025-02-28,Fresh produce,Supermarket Co,39.9
406,2025-03-10,Dairy,Corporate Gift,15.9
407,2025-02-28,Beverages,Corporate Gift,26.5
408,2025-01-29,Beverages,Supermarket Co,15.2
409,2025-02-08,Frozen,Individual,20.8
410,2025-03-13,Canned goods,Individual,47.2
411,2025-04-13,Frozen,Corporate Gift,47.9
412,2025-06-18,Frozen,Supermarket Co,20.7
413,2025-05-09,Frozen,Individual,21.7
414,2025-01-11,Dry goods,Corporate Gift,34.4
415,2025-04-18,Beverages,Corporate Gift,1.6
416,2025-06-13,Canned goods,Individual,35.0
417,2025-08-27,Beverages,Corporate Gift,5.7
418,2025-04-28,Fresh produce,Local Farm,28.1
419,2025-08-15,Beverages,Individual,4.9
420,2025-07-03,Canned goods,Corporate Gift,2.8
421,2025-03-12,Dry goods,Corporate Gift,35.7
422,2025-05-20,Bakery,Community Drive,9.1
423,2025-03-09,Canned goods,Local Farm,37.8
424,2025-05-08,Dairy,Corporate Gift,10.5
425,2025-07-04,Dry goods,Supermarket Co,7.3
426,2025-06-01,Dairy,Individual,7.9
427,2025-08-21,Bakery,Individual,38.3
428,2025-03-05,Fresh produce,Community Drive,31.3
429,2025-02-13,Beverages,Individual,15.9
430,2025-04-29,Frozen,Corporate Gift,11.9
431,2025-08-11,Dairy,Community Drive,16.3
432,2025-02-12,Fresh produce,Corporate Gift,44.0
433,2025-01-16,Bakery,Individual,43.0
434,2025-05-18,Canned goods,Corporate Gift,24.8
435,2025-06-18,Dry goods,Local Farm,14.0
436,2025-03-19,Bakery,Supermarket Co,38.2
437,2025-05-17,Canned goods,Supermarket Co,7.5
438,2025-05-24,Bakery,Supermarket Co,22.6
439,2025-03-21,Dairy,Supermarket Co,41.5
440,2025-05-22,Frozen,Individual,25.7
441,2025-09-06,Frozen,Supermarket Co,24.5
442,2025-01-31,Bakery,Corporate Gift,46.1
443,2025-08-15,Bakery,Community Drive,36.1
444,2025-02-27,Fresh produce,Supermarket Co,37.0
445,2025-06-06,Dairy,Individual,11.0
446,2025-03-15,Canned goods,Community Drive,13.2
447,2025-09-06,Dairy,Corporate Gift,47.0
448,2025-08-14,Canned goods,Supermarket Co,48.8
449,2025-08-15,Fresh produce,Community Drive,1.2
450,2025-06-24,Frozen,Community Drive,23.1
451,2025-06-10,Beverages,Supermarket Co,26.0
452,2025-08-20,Fresh produce,Corporate Gift,23.7
453,2025-07-07,Bakery,Local Farm,18.6
454,2025-05-26,Fresh produce,Local Farm,26.9
455,2025-05-16,Dairy,Community Drive,18.4
456,2025-07-17,Beverages,Individual,28.2
457,2025-07-27,Frozen,Corporate Gift,17.1
458,2025-05-21,Frozen,Individual,7.9
459,2025-02-21,Bakery,Community Drive,31.4
460,2025-09-05,Dairy,Supermarket Co,9.5
461,2025-02-20,Dry goods,Local Farm,38.8
462,2025-02-15,Frozen,Supermarket Co,3.1
463,2025-04-03,Beverages,Community Drive,8.5
464,2025-06-08,Frozen,Supermarket Co,43.1
465,2025-06-15,Dry goods,Community Drive,43.4
466,2025-06-12,Frozen,Supermarket Co,25.8
467,2025-05-19,Dairy,Individual,28.7
468,2025-02-20,Canned goods,Individual,8.5
469,2025-06-29,Beverages,Corporate Gift,24.7
470,2025-02-05,Frozen,Community Drive,9.4
471,2025-08-24,Dry goods,Individual,24.8
472,2025-02-10,Canned goods,Supermarket Co,8.2
473,2025-07-14,Bakery,Supermarket Co,14.4
474,2025-03-18,Bakery,Individual,23.7
475,2025-04-11,Beverages,Corporate Gift,41.9
476,2025-07-02,Frozen,Individual,10.9
477,2025-06-20,Canned goods,Corporate Gift,3.2
478,2025-08-10,Fresh produce,Local Farm,14.9
479,2025-03-22,Bakery,Supermarket Co,47.2
480,2025-01-07,Beverages,Supermarket Co,23.4
481,2025-08-28,Dry goods,Local Farm,32.4
482,2025-01-04,Dairy,Local Farm,23.1
483,2025-01-24,Frozen,Community Drive,18.8
484,2025-03-23,Dry goods,Community Drive,20.8
485,2025-04-04,Beverages,Individual,4.0
486,2025-04-11,Dairy,Local Farm,39.1
487,2025-07-18,Dry goods,Supermarket Co,44.9
488,2025-07-18,Beverages,Local Farm,20.2
489,2025-02-01,Dairy,Community Drive,2.1
490,2025-07-07,Dairy,Community Drive,32.1
491,2025-06-11,Beverages,Individual,45.4
492,2025-08-16,Canned goods,Individual,48.9
493,2025-04-22,Dry goods,Community Drive,46.3
494,2025-02-16,Fresh produce,Community Drive,1.9
495,2025-09-03,Bakery,Individual,38.8
496,2025-06-02,Beverages,Corporate Gift,47.9
497,2025-06-04,Frozen,Supermarket Co,27.4
498,2025-01-13,Dairy,Community Drive,37.6
499,2025-01-22,Fresh produce,Local Farm,40.5
500,2025-01-09,Dairy,Local Farm,4.6
501,2025-06-24,Dry goods,Individual,36.1
502,2025-03-11,Bakery,Individual,10.1
503,2025-05-21,Fresh produce,Community Drive,43.2
504,2025-01-05,Dairy,Community Drive,11.9
505,2025-03-03,Dry goods,Corporate Gift,15.5
506,2025-07-06,Canned goods,Corporate Gift,39.3
507,2025-08-20,Dry goods,Corporate Gift,2.5
508,2025-08-04,Dry goods,Individual,13.2
509,2025-01-04,Dairy,Supermarket Co,43.1
510,2025-04-08,Canned goods,Corporate Gift,1.6
511,2025-07-19,Bakery,Supermarket Co,47.9
512,2025-08-12,Dry goods,Corporate Gift,5.7
513,2025-07-03,Fresh produce,Community Drive,47.3
514,2025-05-03,Frozen,Individual,26.3
515,2025-08-03,Canned goods,Local Farm,49.4
516,2025-08-27,Dairy,Supermarket Co,14.6
517,2025-01-09,Dry goods,Community Drive,26.7
518,2025-08-01,Bakery,Community Drive,35.6
519,2025-08-22,Fresh produce,Community Drive,25.0
520,2025-05-19,Frozen,Community Drive,22.9
521,2025-06-26,Dairy,Community Drive,10.2
522,2025-08-31,Bakery,Individual,44.4
523,2025-04-12,Bakery,Corporate Gift,48.8
524,2025-08-22,Fresh produce,Corporate Gift,46.9
525,2025-05-22,Canned goods,Supermarket Co,28.6
526,2025-07-28,Dairy,Community Drive,30.4
527,2025-02-18,Fresh produce,Corporate Gift,11.1
528,2025-01-16,Fresh produce,Individual,9.0
529,2025-04-07,Dry goods,Supermarket Co,47.4
530,2025-09-03,Dairy,Community Drive,45.4
531,2025-03-24,Canned goods,Community Drive,33.4
532,2025-04-04,Dairy,Corporate Gift,39.5
533,2025-01-30,Beverages,Individual,18.0
534,2025-06-29,Fresh produce,Supermarket Co,47.8
535,2025-04-21,Dry goods,Individual,44.2
536,2025-02-06,Canned goods,Corporate Gift,17.2
537,2025-03-14,Fresh produce,Individual,14.7
538,2025-08-21,Frozen,Local Farm,28.7
539,2025-04-18,Dry goods,Corporate Gift,42.1
540,2025-07-15,Beverages,Corporate Gift,43.9
541,2025-01-24,Dairy,Supermarket Co,20.6
542,2025-07-13,Dry goods,Community Drive,14.4
543,2025-05-10,Dry goods,Supermarket Co,36.8
544,2025-07-07,Dry goods,Supermarket Co,30.5
545,2025-08-31,Beverages,Supermarket Co,44.9
546,2025-04-24,Beverages,Local Farm,7.0
547,2025-06-17,Frozen,Community Drive,25.5
548,2025-05-18,Frozen,Individual,34.8
549,2025-04-08,Frozen,Local Farm,28.4
550,2025-01-09,Bakery,Supermarket Co,4.9
551,2025-01-22,Dry goods,Individual,27.4
552,2025-04-29,Frozen,Corporate Gift,30.9
553,2025-03-17,Fresh produce,Corporate Gift,5.2
554,2025-07-11,Bakery,Local Farm,21.7
555,2025-05-08,Canned goods,Community Drive,1.3
556,2025-05-22,Fresh produce,Corporate Gift,21.9
557,2025-07-16,Dry goods,Community Drive,7.6
