household_id,area,household_size,registration_date,support_needs
302,Eastfield,1,2024-08-26,Accessibility
303,Southbank,3,2024-08-27,Dietary
304,Southbank,1,2024-11-03,Emergency
305,Riverside,3,2024-10-30,Emergency
306,Eastfield,5,2024-06-07,Standard
307,Southbank,2,2024-08-31,Standard
308,Northgate,4,2024-06-07,Accessibility
309,Riverside,4,2025-04-19,Dietary
310,Southbank,3,2025-04-04,Dietary
311,Riverside,2,2025-04-10,Emergency
312,Northgate,3,2025-05-28,Standard
313,Northgate,4,2024-09-02,Emergency
314,Eastfield,5,2025-04-21,Standard
315,Eastfield,2,2025-01-10,Dietary
316,Hilltop,1,2024-06-06,Dietary
317,Northgate,4,2024-10-26,Emergency
318,Northgate,6,2025-02-15,Accessibility
319,Riverside,2,2024-11-09,Accessibility
320,Northgate,2,2024-11-07,Emergency
321,Northgate,4,2024-06-10,Emergency
322,Eastfield,2,2024-10-29,Standard
323,Northgate,3,2024-10-27,Dietary
324,Eastfield,2,2025-04-04,Emergency
325,Eastfield,1,2025-07-03,Emergency
326,Hilltop,4,2024-07-14,Accessibility
327,Northgate,5,2025-06-12,Emergency
328,Northgate,1,2025-04-06,Standard
329,Hilltop,4,2025-01-31,Accessibility
330,Riverside,6,2025-04-20,Accessibility
331,Eastfield,1,2025-04-28,Standard
332,Southbank,4,2024-09-01,Dietary
333,Northgate,3,2024-10-02,Standard
334,Eastfield,3,2024-08-29,Dietary
335,Riverside,4,2024-09-28,Emergency
336,Hilltop,6,2025-02-07,Accessibility
337,Northgate,6,2025-06-18,Emergency
338,Riverside,5,2025-01-14,Emergency
339,Eastfield,2,2025-02-27,Accessibility
340,Northgate,3,2024-08-31,Accessibility
341,Hilltop,4,2024-06-28,Emergency
342,Southbank,6,2024-08-03,Standard
343,Northgate,3,2024-12-06,Emergency
344,Hilltop,2,2024-10-14,Accessibility
345,Riverside,5,2024-08-07,Emergency
346,Northgate,3,2025-01-22,Accessibility
347,Hilltop,2,2025-05-02,Standard
348,Northgate,2,2024-09-09,Standard
349,Hilltop,5,2024-09-30,Emergency
350,Riverside,3,2025-01-20,Accessibility
351,Hilltop,4,2024-11-12,Emergency
352,Riverside,5,2024-06-11,Standard
353,Southbank,5,2024-07-21,Dietary
354,Eastfield,1,2024-10-22,Standard
355,Hilltop,4,2025-06-22,Dietary
356,Hilltop,6,2024-10-08,Accessibility
357,Hilltop,6,2025-02-06,Dietary
358,Northgate,1,2024-12-02,Standard
359,Riverside,3,2025-02-17,Standard
360,Southbank,6,2025-06-04,Emergency
361,Southbank,5,2024-08-02,Dietary
362,Eastfield,1,2024-07-03,Dietary
363,Northgate,2,2024-10-06,Emergency
364,Eastfield,2,2024-06-06,Standard
365,Northgate,6,2024-12-16,Emergency
366,Northgate,6,2024-09-06,Standard
367,Northgate,4,2025-07-05,Dietary
368,Eastfield,4,2024-08-11,Emergency
369,Eastfield,5,2024-10-20,Emergency
370,Riverside,6,2024-09-11,Emergency
371,Riverside,2,2025-06-17,Dietary
372,Northgate,3,2025-02-01,Dietary
373,Riverside,6,2024-07-12,Emergency
374,Southbank,6,2024-07-24,Dietary
375,Riverside,4,2025-01-10,Standard
376,Eastfield,3,2025-05-20,Dietary
377,Hilltop,6,2024-12-07,Accessibility
378,Northgate,3,2024-12-30,Accessibility
379,Northgate,6,2024-08-08,Standard
380,Eastfield,4,2024-10-25,Standard
381,Hilltop,1,2025-05-19,Standard
382,Hilltop,3,2024-07-04,Dietary
383,Hilltop,1,2025-06-29,Dietary
384,Eastfield,5,2024-08-18,Standard
385,Hilltop,5,2025-01-02,Accessibility
386,Eastfield,5,2025-01-11,Dietary
387,Hilltop,3,2024-07-30,Emergency
388,Hilltop,1,2025-04-01,Dietary
389,Hilltop,4,2024-06-03,Emergency
390,Northgate,5,2025-03-29,Dietary
391,Riverside,3,2024-06-16,Standard
392,Northgate,3,2024-10-25,Dietary
393,Southbank,6,2024-06-12,Standard
394,Riverside,5,2024-11-13,Dietary
395,Riverside,5,2025-02-15,Emergency
396,Hilltop,4,2024-06-02,Emergency
397,Southbank,2,2024-12-25,Standard
398,Northgate,3,2025-04-09,Dietary
399,Eastfield,1,2025-03-03,Standard
400,Southbank,2,2024-12-31,Dietary
401,Hilltop,5,2024-09-18,Standard
402,Northgate,5,2025-02-01,Standard
403,Eastfield,3,2024-08-02,Emergency
404,Riverside,3,2024-08-13,Standard
405,Riverside,5,2025-03-08,Standard
406,Eastfield,3,2024-06-26,Standard
407,Hilltop,1,2024-06-08,Dietary
408,Hilltop,4,2025-07-03,Dietary
409,Riverside,6,2024-12-16,Accessibility
410,Hilltop,3,2025-04-25,Dietary
411,Northgate,5,2024-06-13,Standard
412,Southbank,4,2025-04-17,Accessibility
413,Southbank,4,2025-03-25,Standard
414,Hilltop,6,2024-11-20,Standard
415,Southbank,6,2024-08-23,Standard
416,Eastfield,3,2024-09-28,Accessibility
417,Riverside,4,2025-02-10,Standard
418,Hilltop,3,2025-06-14,Dietary
419,Northgate,5,2024-09-16,Dietary
420,Eastfield,2,2025-04-08,Standard
421,Northgate,6,2024-09-22,Accessibility
422,Hilltop,3,2025-04-26,Emergency
423,Hilltop,4,2024-12-06,Accessibility
424,Riverside,4,2025-05-26,Dietary
425,Hilltop,4,2025-03-24,Emergency
426,Riverside,6,2024-11-21,Accessibility
427,Eastfield,1,2024-11-22,Emergency
428,Northgate,5,2025-05-04,Standard
429,Hilltop,3,2025-04-05,Dietary
430,Northgate,2,2024-06-02,Standard
431,Southbank,1,2024-11-07,Standard
432,Northgate,4,2025-05-26,Standard
433,Hilltop,4,2024-10-09,Dietary
434,Hilltop,4,2024-10-14,Standard
435,Hilltop,2,2024-09-10,Standard
436,Northgate,1,2024-09-13,Standard
437,Riverside,1,2024-10-19,Standard
438,Eastfield,3,2024-07-18,Dietary
439,Southbank,2,2025-02-25,Dietary
440,Eastfield,4,2024-10-29,Emergency
441,Eastfield,3,2024-10-16,Accessibility
442,Northgate,6,2024-09-09,Accessibility
443,Southbank,5,2025-05-23,Emergency
444,Southbank,3,2025-05-08,Dietary
445,Riverside,3,2025-04-13,Standard
446,Eastfield,6,2024-12-22,Accessibility
447,Riverside,3,2025-01-20,Standard
448,Eastfield,6,2024-07-17,Standard
449,Northgate,2,2025-02-09,Dietary
450,Hilltop,4,2024-10-04,Dietary
451,Riverside,4,2024-10-11,Accessibility
452,Eastfield,4,2024-10-02,Dietary
453,Southbank,4,2025-03-31,Dietary
454,Eastfield,4,2024-12-03,Dietary
455,Riverside,3,2024-08-04,Emergency
456,Eastfield,2,2024-08-17,Accessibility
457,Hilltop,5,2025-05-02,Standard
458,Southbank,4,2024-06-21,Accessibility
459,Hilltop,6,2025-06-17,Standard
460,Southbank,1,2025-05-06,Dietary
461,Southbank,5,2025-05-15,Accessibility
462,Riverside,6,2025-06-20,Dietary
463,Northgate,3,2024-07-04,Accessibility
464,Eastfield,6,2024-08-07,Standard
465,Northgate,1,2025-02-03,Dietary
466,Eastfield,1,2025-01-13,Dietary
467,Riverside,1,2025-03-24,Standard
468,Hilltop,2,2025-06-07,Accessibility
469,Hilltop,2,2025-05-02,Accessibility
470,Eastfield,6,2024-12-26,Accessibility
471,Hilltop,2,2024-12-21,Accessibility
472,Riverside,1,2024-09-13,Emergency
473,Eastfield,2,2024-09-01,Standard
474,Hilltop,3,2025-01-08,Emergency
475,Southbank,4,2025-06-01,Standard
476,Southbank,2,2025-05-07,Accessibility
477,Eastfield,6,2025-03-06,Standard
478,Eastfield,4,2024-12-28,Accessibility
479,Eastfield,2,2024-06-20,Emergency
480,Riverside,2,2025-03-25,Standard
481,Eastfield,4,2025-02-18,Standard
482,Northgate,1,2024-09-29,Accessibility
483,Hilltop,1,2025-06-19,Accessibility
484,Hilltop,2,2024-08-18,Standard
485,Riverside,6,2024-11-13,Emergency
486,Riverside,6,2024-10-24,Standard
487,Southbank,5,2025-03-24,Dietary
488,Eastfield,2,2024-09-06,Emergency
489,Riverside,3,2025-05-03,Accessibility
490,Southbank,4,2024-12-28,Standard
491,Eastfield,1,2024-12-17,Dietary
492,Hilltop,4,2024-07-13,Standard
493,Riverside,2,2024-09-24,Standard
494,Eastfield,2,2025-06-26,Standard
495,Northgate,1,2024-07-19,Dietary
496,Southbank,3,2024-09-17,Accessibility
497,Eastfield,4,2025-05-01,Standard
498,Northgate,5,2025-07-02,Standard
499,Northgate,4,2025-01-27,Standard
500,Northgate,6,2025-04-29,Dietary
501,Hilltop,5,2024-11-05,Emergency
502,Hilltop,6,2025-01-13,Standard
503,Southbank,3,2024-09-16,Emergency
504,Hilltop,2,2024-12-13,Dietary
505,Southbank,2,2024-06-15,Standard
506,Northgate,6,2024-10-06,Standard
507,Hilltop,4,2024-10-04,Emergency
508,Riverside,3,2024-07-20,Dietary
509,Southbank,2,2025-04-08,Emergency
510,Riverside,3,2025-04-08,Dietary
511,Eastfield,3,2024-07-19,Accessibility
512,Riverside,2,2024-07-20,Accessibility
513,Hilltop,4,2024-09-10,Emergency
514,Riverside,6,2025-04-23,Emergency
515,Riverside,5,2024-06-29,Dietary
516,Riverside,2,2024-09-30,Emergency
517,Northgate,5,2024-11-06,Emergency
518,Hilltop,5,2024-06-18,Emergency
519,Southbank,2,2025-01-27,Dietary
520,Northgate,3,2024-08-09,Emergency
521,Riverside,1,2025-05-13,Accessibility
522,Hilltop,4,2025-01-22,Emergency
523,Hilltop,2,2024-06-06,Accessibility
524,Southbank,5,2025-05-28,Standard
525,Northgate,3,2024-10-19,Dietary
526,Southbank,6,2025-06-12,Emergency
527,Riverside,1,2024-11-15,Standard
528,Riverside,6,2025-06-23,Standard
529,Riverside,2,2025-06-22,Emergency
530,Eastfield,4,2024-10-20,Emergency
531,Riverside,1,2024-07-14,Standard
532,Eastfield,4,2025-04-24,Dietary
533,Eastfield,6,2024-10-02,Standard
534,Riverside,3,2025-01-01,Dietary
535,Riverside,6,2025-02-16,Accessibility
536,Southbank,1,2025-04-01,Accessibility
537,Eastfield,2,2025-01-21,Dietary
538,Riverside,6,2025-03-01,Accessibility
539,Northgate,3,2024-06-11,Emergency
540,Riverside,3,2025-03-26,Emergency
541,Southbank,2,2024-11-11,Emergency
542,Riverside,6,2025-03-08,Accessibility
543,Southbank,3,2024-07-10,Emergency
544,Eastfield,1,2025-04-08,Accessibility
545,Northgate,5,2025-01-18,Accessibility
546,Southbank,5,2024-09-22,Emergency
547,Hilltop,3,2024-07-08,Dietary
548,Riverside,1,2025-06-17,Emergency
549,Southbank,5,2024-11-14,Emergency
550,Eastfield,1,2025-05-09,Emergency
551,Eastfield,3,2024-08-18,Standard
552,Southbank,4,2025-03-25,Emergency
553,Riverside,1,2024-09-17,Accessibility
554,Riverside,6,2025-05-16,Standard
555,Northgate,5,2024-06-30,Dietary
556,Hilltop,5,2025-05-06,Emergency
557,Northgate,5,2024-06-18,Dietary
558,Eastfield,2,2024-10-17,Accessibility
559,Southbank,4,2024-06-11,Dietary
560,Riverside,6,2024-10-03,Standard
561,Northgate,5,2024-06-28,Emergency
562,Hilltop,2,2025-05-12,Accessibility
563,Northgate,4,2025-02-14,Accessibility
564,Northgate,6,2025-01-26,Dietary
565,Hilltop,6,2024-09-12,Accessibility
566,Eastfield,3,2024-11-27,Accessibility
567,Hilltop,3,2025-05-02,Emergency
568,Riverside,4,2024-08-28,Accessibility
569,Eastfield,6,2025-03-17,Dietary
570,Eastfield,1,2025-05-28,Standard
571,Southbank,5,2025-07-04,Dietary
572,Hilltop,1,2024-11-22,Emergency
573,Eastfield,4,2025-02-03,Dietary
574,Riverside,4,2025-01-21,Standard
575,Riverside,4,2024-09-06,Accessibility
576,Eastfield,1,2025-02-12,Standard
577,Eastfield,4,2025-01-30,Accessibility
578,Hilltop,4,2024-07-05,Standard
579,Riverside,3,2024-06-16,Standard
580,Eastfield,2,2025-04-08,Accessibility
581,Northgate,3,2025-06-18,Standard
582,Northgate,4,2024-08-27,Dietary
583,Eastfield,1,2024-12-07,Standard
584,Riverside,4,2024-10-24,Emergency
585,Southbank,4,2024-09-12,Emergency
586,Hilltop,6,2025-03-21,Accessibility
587,Northgate,6,2024-10-10,Standard
588,Eastfield,3,2024-08-04,Dietary
589,Eastfield,1,2024-08-17,Emergency
590,Hilltop,4,2024-12-15,Dietary
591,Eastfield,4,2024-12-13,Emergency
592,Hilltop,2,2025-04-15,Standard
593,Riverside,4,2025-05-21,Standard
594,Eastfield,2,2025-05-13,Accessibility
595,Northgate,1,2024-12-24,Accessibility
596,Hilltop,3,2025-06-23,Accessibility
597,Eastfield,5,2025-04-02,Standard
598,Riverside,2,2024-12-21,Accessibility
599,Southbank,6,2025-06-30,Standard
600,Southbank,6,2025-06-04,Dietary
601,Southbank,5,2025-03-20,Dietary
602,Southbank,2,2025-01-14,Standard
603,Eastfield,3,2025-02-12,Standard
604,Hilltop,1,2024-07-06,Dietary
605,Northgate,2,2025-06-19,Emergency
606,Hilltop,3,2025-06-01,Accessibility
607,Northgate,3,2025-01-31,Accessibility
608,Riverside,4,2025-03-07,Standard
609,Hilltop,5,2025-02-27,Emergency
610,Northgate,4,2025-03-27,Accessibility
611,Eastfield,3,2024-09-22,Emergency
612,Riverside,4,2025-05-08,Dietary
613,Eastfield,4,2025-04-13,Emergency
614,Northgate,3,2025-03-07,Accessibility
615,Southbank,3,2024-09-21,Standard
616,Eastfield,1,2024-11-25,Dietary
617,Northgate,3,2025-05-02,Accessibility
618,Southbank,4,2025-04-02,Accessibility
619,Southbank,5,2024-12-04,Emergency
620,Riverside,4,2025-02-17,Standard
621,Hilltop,6,2024-06-22,Emergency
622,Northgate,3,2025-06-22,Dietary
623,Eastfield,2,2024-12-17,Accessibility
624,Eastfield,6,2024-07-16,Standard
625,Northgate,5,2025-03-02,Standard
626,Northgate,1,2024-12-25,Standard
627,Hilltop,4,2024-12-13,Accessibility
628,Northgate,6,2025-06-28,Accessibility
629,Hilltop,6,2024-11-19,Standard
630,Riverside,2,2025-01-31,Dietary
631,Riverside,2,2024-11-09,Accessibility
632,Hilltop,4,2024-12-01,Emergency
633,Eastfield,1,2025-05-20,Standard
634,Riverside,6,2024-12-21,Standard
635,Eastfield,2,2025-05-28,Emergency
636,Riverside,1,2024-08-14,Standard
637,Southbank,4,2025-07-05,Accessibility
638,Eastfield,3,2024-09-15,Accessibility
639,Eastfield,1,2024-12-22,Dietary
640,Northgate,6,2025-01-13,Emergency
641,Eastfield,5,2024-10-06,Accessibility
642,Hilltop,6,2024-10-08,Accessibility
643,Northgate,4,2024-07-27,Emergency
644,Eastfield,2,2025-04-05,Dietary
645,Southbank,6,2025-02-10,Accessibility
646,Southbank,2,2025-04-02,Emergency
647,Riverside,5,2024-09-01,Dietary
648,Eastfield,6,2024-12-04,Dietary
649,Southbank,5,2025-06-03,Standard
650,Southbank,4,2024-08-24,Accessibility
651,Hilltop,3,2025-05-31,Standard
